full_text,created_at
"@chris2481632 @dave161256 @RichardBurgon So how long will U keep UK in lockdown for? Safe vaccine will not be avail till early Autumn &amp; even that is pushing it. We should be looking at tests &amp; treatments. Pushing us further into economy crash will be devastating. &amp; yes, I know about GSK but not an excuse. UK unprepared.",2020-04-20 21:47:25
"RT @SaeedBhutto9: The prospects of producing a Covid-19 vaccine are very good says Professor Sarah Gilbert,  Vaccinologist at Oxford Univer…",2020-04-20 23:05:29
"RT @21WIRE: Some truth for once? UK Science Advisor says #vaccine efficacy is 'not certainty'. However, as with soldiers - looks like #NHS…",2020-04-20 22:05:21
RT @Pairsonnalites: Coronavirus: UK scientists to begin COVID-19 vaccine trials on humans within days: ... to treat HIV. Similar trials in…,2020-04-20 21:52:33
RT @TwisterFilm: 10./ The article suggests nothing useful came out of the Cobra meeting. Yet Whitty gave detailed briefings to the press an…,2020-04-20 22:48:11
"Tom you are a special kind of stupid why are you trying to  encourage people to take that vaccine, the first virus we need to get rid of in this country and it is the disinformation agents that work for all the media  scumbags.
https://t.co/JyoQ3qQ1Hh https://t.co/xVdaiXpFLA",2020-04-20 23:10:59
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 22:15:10
"RT @RevDrBarber: We don’t need guns, anger &amp; flags. We need grace towards each other, testing &amp; tracing until there is a vaccine &amp; full coo…",2020-04-20 21:49:33
"RT @RDsouthampton: If you are:

✅ healthy 
✅ aged 18-55 
✅ and based within the Southampton area

you can help us develop a safe vaccine ag…",2020-04-20 22:46:29
RT @NicoOlsze: 3) ¿O sea que ya tienen una vacuna efectiva y la van a empezar a producir en masa? No. Todavía ni siquiera empezaron las pru…,2020-04-20 22:17:00
RT @JennerInstitute: News and updates on the Jenner Institute #UniofOxford Covid-19 vaccine trials and manufacture https://t.co/hBOoeWXS8J,2020-04-20 21:53:23
"RT @OxfordVacGroup: A multi-site project, called ‘What’s the STORY?’,led by Prof Matthew Snape from the Oxford Vaccine Group, has received…",2020-04-20 23:10:35
"Even if you reject this &amp; support a lockdown, the next question to ask is what the exit strategy is.  Wait 2 years for a vaccine?
https://t.co/NBeye7iU8Z",2020-04-20 22:28:45
"RT @WTSecretary: In the absence of a vaccine &amp; of post-infection immunity, the virus will go on playing out, until either (a) all its hosts…",2020-04-20 22:36:57
RT @Britpopmemories: I was chatting to someone who said the Oxford vaccine trial launched so quickly because the UK was clever enough to pr…,2020-04-20 21:58:06
"RT @thetimes: Britain must prepare for a second wave of Covid-19, a leading scientist working on a vaccine has said https://t.co/ETVxv9Iuoh",2020-04-20 22:15:32
RT @MailOnline: Belgian scientists discover camelids' blood contains antibodies for combating coronavirus https://t.co/zidc9S4ffh,2020-04-20 22:15:54
"No certainty that UK will have coronavirus vaccine in 18 months, chief scientific adviser warns – https://t.co/E7WePTFFgv https://t.co/NFsVdheXBI https://t.co/iSy5i3pxxd",2020-04-20 21:51:18
"The Government has been contacted by a prominent UK based pharmaceutical company who've assured them they've found a vaccine to combat Covid-19, it will also promote sleep, alliviate pain, cure depression and take 10 years off you. They'll drop some off after training tomorrow https://t.co/fvUlZBfjsE",2020-04-20 23:08:32
RT @DailyMail: Bill Gates believes it will take 18 months to develop a coronavirus vaccine https://t.co/HokujQUcSY,2020-04-20 23:08:58
